local time,activity,activity id,source activity,duration(s),elapsed time(s),distance(m),calories(kcal),steps,avg speed(m/s),max speed(m/s),avg heartrate,max heartrate,avg cadence,max cadence,avg power,max power,has GPS,min elevation(m),max elevation(m),elevationgain(m),elevationloss(m)
8/25/2025 12:26,Weight Training,1404,strength_training,1402.92,1402.92,0,243,196,0,0,123,147,0,0,0,0,0,0,0,0,0
8/25/2025 11:37,Running,100,running,2154.14,2154.14,5749.9,463,5906,2.67,3.29,133,149,82,88,330,416,1,250,259,17,14
8/24/2025 9:44,Cycling,500,cycling,4528.85,6884.26,6102.9,192,0,1.35,3.7,71,95,0,0,0,0,1,252,259,13,9
8/23/2025 9:44,Running,100,running,6266.04,6266.04,16767.08,1367,16456,2.68,3.59,147,165,78,88,319,518,1,241,260,77,77
8/21/2025 13:23,Running,100,running,1559.31,1559.31,5011.15,378,4068,3.21,3.98,153,169,76,86,387,542,1,250,261,15,16
8/19/2025 8:29,Running,100,running,4201.35,4219.16,11568.36,930,11294,2.75,3.68,147,167,79,88,334,472,1,245,261,39,41
8/15/2025 15:09,Running,100,running,5543.9,5543.9,12758.25,1114,13180,2.3,3.23,148,163,70,116,256,444,1,240,261,55,57
8/14/2025 15:23,Weight Training,1404,strength_training,1646.97,1646.97,0,249,64,0,0,117,159,0,0,0,0,0,0,0,0,0
8/13/2025 9:10,Running,100,running,2412.99,2412.99,7097.47,569,6522,2.94,3.66,148,165,80,85,360,493,1,250,260,15,14
8/11/2025 15:29,Running,100,running,2115.82,2121.02,5317.27,423,5504,2.51,3.53,132,150,77,85,302,492,1,250,261,13,9
8/10/2025 20:02,Running,100,running,1636.09,1636.09,4509.99,353,4338,2.76,3.62,143,155,79,84,341,453,1,251,263,15,11
8/8/2025 11:24,Running,100,Running,5175.48,5175.48,10769.25,974,11308,2.08,3.38,138,153,76,113,215,372,1,247,260,22,31
8/7/2025 10:24,Running,100,Running,1743.02,1743.02,4580.51,346,4789,2.63,4.24,137,144,83,88,240,324,1,248,259,8,14
8/6/2025 11:29,Running,100,Running,3017.29,3017.29,7988.37,616,7575,2.65,4.28,150,168,76,134,240,351,1,250,260,11,20
8/6/2025 7:27,Walking,200,Walking,901.34,901.34,781.46,43,922,0.87,1.27,78,87,24,25,0,0,1,256,256,0,0
8/5/2025 13:21,Weight Training,1404,Traditional Strength Training,2094.58,2094.58,0,257,0,0,0,119,149,0,0,0,0,0,0,0,0,0
8/5/2025 12:45,Running,100,Running,1713.6,1713.6,4583.88,351,4636,2.67,3.47,138,146,82,100,244,310,1,248,260,8,16
8/3/2025 19:41,Running,100,Running,1819.93,1819.93,4565.06,345,4690,2.51,3.24,134,144,79,101,232,349,1,247,259,7,15
8/2/2025 15:22,Weight Training,1404,Traditional Strength Training,1888.61,1888.61,0,156,0,0,0,99,128,0,0,0,0,0,0,0,0,0
8/1/2025 8:22,Running,100,Running,4207.84,4207.84,10796.77,822,11450,2.57,3.44,139,148,83,94,236,331,1,244,260,33,38
7/31/2025 19:05,Running,100,Running,2624.18,2624.18,5164.82,345,6651,1.97,2.57,121,132,76,105,175,226,1,217,223,5,15
7/30/2025 7:44,Running,100,Running,1990.14,1990.14,5005.53,411,4759,2.52,4.74,146,168,73,161,239,605,1,250,259,38,41
7/28/2025 13:44,Running,100,Running,1701.22,1701.22,4132.56,311,4557,2.43,3.15,138,145,82,187,224,323,1,247,259,8,8
7/28/2025 13:10,Weight Training,1404,Traditional Strength Training,2024.22,2024.22,0,166,0,0,0,99,124,0,0,0,0,0,0,0,0,0
7/27/2025 8:23,Running,100,Running,1908.09,1908.09,5243.23,396,5122,2.75,4.18,141,152,81,117,248,360,1,248,260,8,16
